minimum,	time_measurement
557.67084,	88330
532.82973,	110901
547.03570,	76638
521.40889,	105123
586.30110,	112155
516.97596,	112002
569.27452,	112675
530.57889,	107901
527.03372,	94068
529.71518,	111054
506.73334,	112702
522.92097,	101743
542.19622,	106131
551.56648,	111360
522.04675,	79731
497.13012,	92535
593.34092,	91712
542.23419,	92185
537.83209,	93658
525.57847,	91904
553.44656,	91049
529.54214,	82355
554.20341,	93579
561.97788,	91205
510.62895,	76749
503.10072,	87098
544.08280,	82306
533.96526,	68379
508.68348,	75036
543.71764,	93601
